gene_A,gene_B,pvalue,qvalue_BH,qvalue_BO,gene_B_around,gene_B_slice,gene_around,gene_slice,gene_A_N,gene_B_N,pair,enrichment_ratio,support_ratio
Slc1a3,Scd2,5.2831796704277396e-11,4.543534516567856e-09,2.7261207099407136e-08,41,1435,3701,434286,1316,1435,Scd2_Slc1a3,3.352653722932026,0.03115501519756839
Dscaml1,Cd3g,2.1170776547268424e-11,5.080986371344422e-09,1.0161972742688844e-08,10,132,592,186566,231,132,Cd3g_Dscaml1,23.874641687141686,0.07575757575757576
Grik2,Lilrb4a/b,2.0640487468841318e-11,5.830937709947673e-09,1.1661875419895345e-08,14,259,1236,276959,473,259,Grik2_Lilrb4a/b,12.11226274818508,0.05405405405405406
P2rx7,P2rx4,2.9772401903800143e-11,6.5797008207398314e-09,6.5797008207398314e-09,9,110,317,115026,109,110,P2rx4_P2rx7,29.6883854316031,0.08256880733944955
Cspg5,Apoe,1.3733744666914872e-11,6.880606078124352e-09,6.880606078124351e-09,61,4698,2074,428960,738,4698,Apoe_Cspg5,2.685498209500914,0.08265582655826559
Hexb,C1qa,2.8173809676750292e-11,8.508490522378589e-09,8.508490522378589e-09,11,158,411,110125,183,158,C1qa_Hexb,18.654331824201545,0.06962025316455696
Ptn,Apoe,2.3794451319577207e-11,8.661180280326103e-09,8.661180280326103e-09,57,4535,1380,301454,530,4535,Apoe_Ptn,2.745614304204017,0.10754716981132076
Atp6v1h,Oprk1,3.3046244376888504e-11,9.021624714890562e-09,1.8043249429781124e-08,10,106,630,151032,207,106,Atp6v1h_Oprk1,22.61635220125786,0.09433962264150944
C1qb,C1qa,4.1239994606663574e-11,9.278998786499304e-09,9.278998786499304e-09,11,167,402,109948,163,167,C1qa_C1qb,18.015133911281914,0.06748466257668712
Psmd14,Tank,1.7885747198793628e-11,1.049893360569186e-08,1.049893360569186e-08,17,424,1999,447644,706,424,Psmd14_Tank,8.978484525281509,0.04009433962264151
Camk2a,Csf1r,1.485722688706681e-11,1.3520076467230798e-08,1.3520076467230798e-08,33,237,8139,235197,3271,237,Camk2a_Csf1r,4.023706765829784,0.13924050632911392
Vmp1,Glp1r,3.1968164278286254e-11,1.3682374311106518e-08,1.3682374311106518e-08,9,109,515,184484,180,109,Glp1r_Vmp1,29.577910394584485,0.08256880733944955
C1qc,C1qb,6.27102674414531e-11,1.3984389639444041e-08,1.3984389639444041e-08,12,139,424,70653,188,139,C1qb_C1qc,14.38570652911633,0.08633093525179857
Gdnf,Rictor,1.0011289254566658e-10,1.431614363403032e-08,1.431614363403032e-08,8,127,252,141667,94,127,Gdnf_Rictor,35.41232345956755,0.0851063829787234
Camk2a,Pdgfrb,3.833728456487968e-11,1.7443464477020254e-08,3.488692895404051e-08,24,146,5480,174411,2220,146,Camk2a_Pdgfrb,5.231806819318068,0.1643835616438356
Pgm1,Ror1,1.175555248237161e-10,1.875010620938272e-08,3.750021241876544e-08,8,101,275,119721,97,101,Pgm1_Ror1,34.483096309630966,0.08247422680412371
Pak2,Dlg1,5.843433672705331e-11,2.0335149181014555e-08,2.0335149181014555e-08,12,340,765,322674,256,340,Dlg1_Pak2,14.886920415224914,0.046875
Epha6,Pros1,3.756314052080634e-11,2.12983006752972e-08,2.1298300675297195e-08,11,134,856,189345,364,134,Epha6_Pros1,18.157997977402704,0.08208955223880597
Epha6,St3gal6,7.615157998143505e-11,2.1588972924736838e-08,4.3177945849473676e-08,10,103,685,146211,308,103,Epha6_St3gal6,20.722982070724964,0.0970873786407767
Mobp,Cx3cr1,1.5602249391619776e-10,2.2077182889141984e-08,4.415436577828397e-08,7,57,205,79941,82,57,Cx3cr1_Mobp,47.88934531450578,0.12280701754385964
P2rx4,Atxn2,1.7615642599027503e-10,2.2636100739750342e-08,4.5272201479500684e-08,9,178,403,196236,154,178,Atxn2_P2rx4,24.62045891766805,0.05844155844155844
Cpe,Cst3,2.336630047232803e-10,2.958173639796729e-08,1.4790868198983644e-07,73,4332,5328,723193,2075,4332,Cpe_Cst3,2.287306740604871,0.03518072289156626
Tagln,Dscaml1,2.446786970712249e-10,2.960612234561821e-08,2.960612234561821e-08,8,131,219,113120,81,131,Dscaml1_Tagln,31.5437972742166,0.09876543209876543
Tspan7,Cst3,1.2245335130901808e-10,2.979698215186107e-08,8.939094645558321e-08,93,4403,8215,809645,2834,4403,Cst3_Tspan7,2.081715297031612,0.032815808045165845
Ckb,Glul,1.1221603387022542e-10,2.99990863879736e-08,8.999725916392079e-08,124,5221,11608,912899,4195,5221,Ckb_Glul,1.8678126993635285,0.029558998808104888
Slc1a2,Aldoc,4.4549827568675805e-10,3.15346107662308e-08,3.470431567599845e-07,85,2374,9687,567512,3777,2374,Aldoc_Slc1a2,2.097606211748712,0.03580454928390901
Atp1a2,Slc1a3,4.180034173225741e-10,3.4515139316063975e-08,2.4160597521244784e-07,44,1199,3860,312392,1395,1199,Atp1a2_Slc1a3,2.969929172410515,0.03669724770642202
Ckb,Apoe,1.7282923032804266e-10,3.465226068077256e-08,1.386090427230902e-07,144,6063,10233,760070,3702,6063,Apoe_Ckb,1.7641095091976926,0.03889789303079417
Slc4a8,Slc11a2,1.0154328027067825e-10,3.614940777636146e-08,3.614940777636146e-08,10,204,598,250439,213,204,Slc11a2_Slc4a8,20.529133057905437,0.049019607843137254
Herc1,Aph1b/c,1.1254684045403392e-10,4.310543989389499e-08,4.310543989389499e-08,10,205,632,263265,220,205,Aph1b/c_Herc1,20.319928990429144,0.04878048780487805
Akt3,Rgs7,9.542884212320737e-11,5.8784166747895733e-08,5.878416674789574e-08,26,1082,3645,738424,1338,1082,Akt3_Rgs7,4.868042465687431,0.024029574861367836
Dbi,Aldoc,1.4079457740173018e-10,6.870775377204433e-08,6.870775377204433e-08,39,2160,2302,429360,928,2160,Aldoc_Dbi,3.3676513176947576,0.04202586206896552
Pgd,Ube4b,4.925395197081807e-10,7.14182303576862e-08,7.14182303576862e-08,8,150,282,153508,108,150,Pgd_Ube4b,29.03224586288416,0.07407407407407407
Nlgn4l,Mid1,2.691114429322825e-10,7.2390978148784e-08,7.239097814878399e-08,13,520,788,357123,293,520,Mid1_Nlgn4l,11.330044416243656,0.04436860068259386
Nbea,Foxo1,1.105980054063832e-10,7.399006561687035e-08,7.399006561687037e-08,28,848,5000,678955,1902,848,Foxo1_Nbea,4.483665094339623,0.0330188679245283
Cdc27,Crhr1,1.8476635769254684e-10,7.871046837702495e-08,7.871046837702495e-08,9,130,456,160135,173,130,Cdc27_Crhr1,24.311993927125503,0.06923076923076923
Homer1,Rasgrf2,3.804930952741864e-10,8.12352758410388e-08,1.624705516820776e-07,19,1020,1585,545145,613,1020,Homer1_Rasgrf2,6.406726665429579,0.03099510603588907
Serinc3,Ada,1.3376859059787578e-10,8.748465825101076e-08,8.748465825101076e-08,10,97,721,136338,253,97,Ada_Serinc3,19.494402104751423,0.10309278350515463
Camk2a,Cd74,3.840776292552392e-10,1.165035475407559e-07,3.495106426222677e-07,32,247,10299,289797,4044,247,Camk2a_Cd74,3.645455928467565,0.12955465587044535
Htt,Add1,2.4106420015196646e-10,1.258355124793265e-07,1.258355124793265e-07,23,1196,2654,729612,953,1196,Add1_Htt,5.286737000753579,0.024134312696747113
Rpe,Creb1,7.696340463379498e-10,1.2775925169209967e-07,2.5551850338419935e-07,10,237,675,266591,265,237,Creb1_Rpe,16.66454133458353,0.04219409282700422
Fus,Itgax,1.8772419551112283e-10,1.3553686915903068e-07,1.3553686915903068e-07,13,159,1521,212624,534,159,Fus_Itgax,11.429554372950602,0.08176100628930817
Sptbn1,Psme4,1.9459927914886233e-10,1.3641409468335248e-07,1.364140946833525e-07,21,514,3826,550374,1359,514,Psme4_Sptbn1,5.877181724062884,0.04085603112840467
Slco3a1,Ntrk3,7.221263865067612e-10,1.9064136603778495e-07,1.9064136603778495e-07,17,952,864,341453,318,952,Ntrk3_Slco3a1,7.0571469907407405,0.05345911949685535
Grik1,Tiam1,1.276446317905801e-09,1.9784917927539916e-07,1.9784917927539916e-07,11,425,357,181448,141,425,Grik1_Tiam1,13.154905256220136,0.07801418439716312
Ppp1r13b,Mark3,4.331859708794232e-10,2.3088812247873255e-07,2.3088812247873255e-07,17,589,2209,559233,784,589,Mark3_Ppp1r13b,7.306858575929156,0.028862478777589132
Galr1,Mbp,1.8222659624328488e-09,2.350723091538375e-07,2.350723091538375e-07,9,251,229,119910,91,251,Galr1_Mbp,18.775378834008944,0.0989010989010989
Cntn1,Lrrk2,5.16626071935388e-10,2.789780788451095e-07,2.789780788451095e-07,12,245,1232,307317,422,245,Cntn1_Lrrk2,12.217744500397561,0.04897959183673469
Samhd1,Nnat,1.2005226789438093e-09,3.037322377727838e-07,3.037322377727838e-07,8,136,286,125569,109,136,Nnat_Samhd1,25.82661456190868,0.07339449541284404
Unc5c,Gbp2,1.2090395030216962e-09,3.2885874482190137e-07,3.2885874482190137e-07,6,40,161,60005,60,40,Gbp2_Unc5c,55.90527950310559,0.15
Pbx1,Rgs5,2.4918136509962686e-09,4.0616562511239174e-07,1.2184968753371753e-06,10,227,502,167212,198,227,Pbx1_Rgs5,14.67364024079892,0.050505050505050504
Tnrc6c,Timp2,9.85572421187196e-10,4.2576728595286874e-07,4.257672859528687e-07,9,168,519,195686,191,168,Timp2_Tnrc6c,20.19880264244426,0.05357142857142857
Cd3e,Cd3d,3.3879885504610196e-09,4.268865573580885e-07,4.2688655735808846e-07,5,27,72,32901,23,27,Cd3d_Cd3e,84.62191358024693,0.21739130434782608
Gria4,Pdgfd,1.91139355796032e-09,4.5300027323659587e-07,4.530002732365958e-07,6,47,143,58428,53,47,Gria4_Pdgfd,52.16009522392501,0.1276595744680851
Ncam1,Htr3a,1.6243684978841764e-09,5.14924813829284e-07,1.029849627658568e-06,10,124,876,164742,301,124,Htr3a_Ncam1,15.166261599646486,0.08064516129032258
Itm2b,Rb1,6.676060688928851e-10,5.427637340099156e-07,5.427637340099156e-07,26,480,6627,536861,2239,480,Itm2b_Rb1,4.388104848850662,0.05416666666666667
Hspa1b,Hspa1a,3.046816744992063e-09,6.276442494683651e-07,6.27644249468365e-07,6,62,182,92236,61,62,Hspa1a_Hspa1b,49.0443105281815,0.09836065573770492
Lifr,Gdnf,2.6874851398529364e-09,6.449964335647047e-07,6.449964335647047e-07,6,54,164,73373,50,54,Gdnf_Lifr,49.71070460704606,0.12
Jak1,Pgm1,4.262875039264156e-09,6.863228813215291e-07,2.058968643964587e-06,11,280,1151,343682,391,280,Jak1_Pgm1,11.730489015762691,0.039285714285714285
Htt,Rgs12,2.638598259592181e-09,6.886741457535592e-07,1.3773482915071185e-06,10,197,768,220666,278,197,Htt_Rgs12,14.58505181895093,0.050761421319796954
Tusc3,Msr1,1.469919748153546e-09,7.393696333212338e-07,7.393696333212337e-07,8,91,454,128852,156,91,Msr1_Tusc3,24.95076729437963,0.08791208791208792
Ntrk2,Spock1,4.672249632762159e-09,7.534002532828981e-07,3.0136010131315925e-06,13,233,1593,251850,577,233,Ntrk2_Spock1,8.820914462145277,0.055793991416309016
Kalrn,Dlg1,9.547330986323905e-10,7.695148774977067e-07,7.695148774977067e-07,33,720,8418,649044,3070,720,Dlg1_Kalrn,3.5338382038488954,0.04583333333333333
Wdr59,Terf2ip,4.20122099225527e-09,7.70924052078842e-07,1.541848104157684e-06,9,223,632,269067,251,223,Terf2ip_Wdr59,17.182288414599537,0.04035874439461883
Psmd14,Gcg,2.7769081982574377e-09,8.150225561885579e-07,1.6300451123771158e-06,10,161,946,220083,344,161,Gcg_Psmd14,14.450054495555001,0.062111801242236024
Ctss,Cst3,3.979330716076401e-09,8.555561039564262e-07,8.555561039564262e-07,21,1508,604,214247,228,1508,Cst3_Ctss,4.939645291338029,0.09210526315789473
Crhr1,Mapt,9.06885906404257e-09,8.932826178081931e-07,1.7865652356163863e-06,10,343,488,215305,178,343,Crhr1_Mapt,12.862937915212921,0.056179775280898875
Gpr17,Bin1,5.6838654698319115e-09,9.71940995341257e-07,9.719409953412568e-07,10,357,404,194775,159,357,Bin1_Gpr17,13.504659289458358,0.06289308176100629
Snap25,Plcb4,1.42069976710444e-09,1.2914160882979362e-06,1.291416088297936e-06,21,145,5514,191662,1911,145,Plcb4_Snap25,5.03408502495216,0.14482758620689656
Ctsd,Cst3,2.4855115469012376e-09,1.4241981163744091e-06,1.4241981163744091e-06,46,3613,2917,627689,1081,3613,Cst3_Ctsd,2.7396681374091822,0.0425531914893617
Sparcl1,Slc1a2,4.058067068255021e-09,1.4243815409575123e-06,2.848763081915025e-06,71,4210,6807,872773,2345,4210,Slc1a2_Sparcl1,2.1623291588545674,0.030277185501066096
Mfge8,Cst3,1.3613268242792689e-08,1.7107340425109479e-06,5.132202127532843e-06,42,3211,1652,343166,578,3211,Cst3_Mfge8,2.717084809104297,0.0726643598615917
Herc1,Dapk2,9.649093890364598e-09,1.8478014800048204e-06,3.695602960009641e-06,6,53,247,87701,84,53,Dapk2_Herc1,40.196012527690776,0.11320754716981132
Ctsd,Ctss,6.5831120836188935e-09,1.8860616119568129e-06,3.7721232239136257e-06,12,217,1172,205044,460,217,Ctsd_Ctss,9.674777056038753,0.055299539170506916
Mapt,Cdc27,6.724841514446281e-09,1.9064925693455207e-06,3.812985138691041e-06,16,600,2279,558285,828,600,Cdc27_Mapt,6.532514260640632,0.02666666666666667
Tnc,Astn2,1.4512467815754593e-08,2.554194335572808e-06,2.554194335572808e-06,6,71,135,60153,58,71,Astn2_Tnc,37.654460093896716,0.10344827586206896
Bsg,Itm2a,1.0706362594270136e-08,2.6052148979390667e-06,7.8156446938172e-06,20,353,2407,206614,1018,353,Bsg_Itm2a,4.8633882997065925,0.056657223796033995
Map2k1,Map2k5,3.92039498679934e-09,2.6345054311291563e-06,2.6345054311291563e-06,20,522,3915,532732,1313,522,Map2k1_Map2k5,5.213585629492619,0.038314176245210725
Itm2c,Cab39,3.7219751424176544e-09,2.7952033319556584e-06,2.7952033319556584e-06,32,977,7505,786528,2531,977,Cab39_Itm2c,3.4325660750219744,0.032753326509723645
Cblb,Alcam,6.2309127042463656e-09,2.8475271058405894e-06,2.847527105840589e-06,11,279,1087,311472,389,279,Alcam_Cblb,11.297385523933881,0.03942652329749104
Mapk10,Slc10a6,9.77148114599199e-09,2.848386754056665e-06,5.69677350811333e-06,9,125,835,178326,308,125,Mapk10_Slc10a6,15.376613173652697,0.072
Dgki,Hipk2,9.656087049076017e-09,3.0368393769344073e-06,6.073678753868815e-06,17,548,2632,501369,1010,548,Dgki_Hipk2,5.909353299092584,0.03102189781021898
Braf,Hipk2,5.996548209759378e-09,3.1661774547529513e-06,3.1661774547529513e-06,14,488,1641,448895,598,488,Braf_Hipk2,7.847736286350785,0.028688524590163935
Bmpr1a,Grid1,1.8604433373499223e-08,3.4139135240371076e-06,6.8278270480742144e-06,9,270,704,305783,289,270,Bmpr1a_Grid1,14.478361742424244,0.03333333333333333
Cck,Vipr1,6.602641799520897e-09,3.644658273335535e-06,3.644658273335535e-06,12,270,1486,325158,522,270,Cck_Vipr1,9.725078510542843,0.044444444444444446
C2,H2-Aa,6.969111516799255e-08,4.3208491404155384e-06,8.641698280831077e-06,4,20,68,33938,18,20,C2_H2-Aa,99.81764705882352,0.2222222222222222
Adcy2,Ntrk2,1.0044532270734601e-08,4.360302525053958e-06,5.6852052652357845e-06,27,1520,3749,794415,1491,1520,Adcy2_Ntrk2,3.7640221602953767,0.018108651911468814
Adcy2,Ryr2,1.5407429417151793e-08,4.360302525053958e-06,8.720605050107916e-06,38,2772,4026,848467,1603,2772,Adcy2_Ryr2,2.8890267016198465,0.023705552089831567
Dbi,Apoe,1.958226401491479e-08,4.778072419639208e-06,9.556144839278417e-06,61,5485,2599,517354,1039,5485,Apoe_Dbi,2.213781403197289,0.05871029836381136
Mc5r,Mc2r,2.174954298346187e-08,4.980645343212769e-06,4.980645343212768e-06,5,44,141,75438,45,44,Mc2r_Mc5r,60.79787234042553,0.11363636363636363
Mc5r,Tcf4,7.268325258897813e-08,5.548154947625331e-06,1.6644464842875992e-05,12,708,682,315636,241,708,Mc5r_Tcf4,7.844226850241066,0.04979253112033195
Psen1,Rgs6,1.496058693599266e-08,5.789747144229159e-06,5.789747144229159e-06,8,185,462,201074,184,185,Psen1_Rgs6,18.82054522054522,0.043478260869565216
Cd74,Pdgfrb,5.425494114515549e-08,5.8595336436767934e-06,1.1719067287353585e-05,5,48,111,53840,40,48,Cd74_Pdgfrb,50.525525525525524,0.125
Atp2b2,Slc6a11,2.270713510607092e-08,6.017390803108794e-06,1.2034781606217587e-05,9,185,760,219587,273,185,Atp2b2_Slc6a11,14.056066856330016,0.04864864864864865
Sil1,Egr1,2.5823898848427184e-08,6.068616229380388e-06,6.068616229380388e-06,6,77,234,103595,79,77,Egr1_Sil1,34.497169497169494,0.07792207792207792
Cst3,Csf1r,1.6864882410372333e-07,6.4002228747363e-06,0.000128004457494726,15,190,2641,180992,1069,190,Csf1r_Cst3,5.410390800932661,0.07894736842105263
Lpar6,Rb1,2.73138135587718e-08,6.52800144054646e-06,6.52800144054646e-06,7,134,326,145518,111,134,Lpar6_Rb1,23.31805695449135,0.06306306306306306
Uqcr10,Mtmr3,1.1674441933401046e-08,6.922944066506821e-06,6.92294406650682e-06,17,617,2735,579739,968,617,Mtmr3_Uqcr10,5.84035093437314,0.027552674230145867
Map2k6,Sox9,1.5966673703905047e-08,6.9614697349026e-06,6.961469734902601e-06,9,208,622,210886,237,208,Map2k6_Sox9,14.670217041800644,0.04326923076923077
Gnal,Mc4r,1.5214347700100175e-08,7.515887763849486e-06,7.515887763849486e-06,9,159,713,184938,247,159,Gnal_Mc4r,14.681891555743734,0.05660377358490566
C1qc,Cst3,7.142113642655279e-08,7.963456711560636e-06,1.5926913423121272e-05,22,1502,678,184874,299,1502,C1qc_Cst3,3.9939156837098224,0.07357859531772576
Rps9,Pirb,1.2974088298667133e-08,8.73156142500298e-06,8.73156142500298e-06,9,106,829,144400,327,106,Pirb_Rps9,14.789357489132167,0.08490566037735849
Ptprz1,Apoe,3.215208666372517e-08,9.034736352506773e-06,1.8069472705013546e-05,58,5020,2542,491274,924,5020,Apoe_Ptprz1,2.2329166418511637,0.06277056277056277
Polr2f,Galr3,1.80508822480898e-08,9.04349200629299e-06,9.04349200629299e-06,7,80,502,140536,174,80,Galr3_Polr2f,24.49581673306773,0.0875
Slc1a3,Gpr37l1,1.474473607421588e-07,9.510354767869243e-06,7.608283814295395e-05,25,544,2827,211921,986,544,Gpr37l1_Slc1a3,3.4450005462036244,0.04595588235294118
