gene_A,gene_B,pvalue,qvalue_BH,qvalue_BO,gene_B_around,gene_B_slice,gene_around,gene_slice,gene_A_N,gene_B_N,pair,enrichment_ratio,support_ratio
Syt1,Nav3,3.3928499969946656e-25,2.239280998016479e-22,2.239280998016479e-22,29,266,2494,353411,852,266,Nav3_Syt1,15.448985836684734,0.10902255639097744
Zfyve16,Serinc5,1.8792297343032608e-24,5.562520013537652e-22,5.562520013537652e-22,20,262,597,267510,214,262,Serinc5_Zfyve16,34.20537803521424,0.09345794392523364
Atp6v1h,Rb1cc1,3.8261725118129184e-24,2.0890901914498535e-21,2.0890901914498535e-21,31,590,2224,542595,791,590,Atp6v1h_Rb1cc1,12.818897847823434,0.05254237288135593
Atp1a2,Cst3,2.4279830433722232e-23,3.5084354976728626e-21,1.403374199069145e-20,110,3884,4360,464072,1604,3884,Atp1a2_Cst3,3.0144795396781907,0.0685785536159601
Plpp3,Apoe,9.560644563483616e-24,4.3309719872580786e-21,4.3309719872580786e-21,108,4669,2472,328704,910,4669,Apoe_Plpp3,3.075788042178633,0.11868131868131868
Slc1a3,Clu,1.3440675704491118e-22,1.733847165879354e-20,6.935388663517416e-20,94,3245,3685,417012,1304,3245,Clu_Slc1a3,3.278115209078574,0.07208588957055215
Prickle2,Magi1,6.603434960313933e-22,4.14695715507715e-19,4.14695715507715e-19,31,491,2927,494664,1061,491,Magi1_Prickle2,10.670082670160602,0.06313645621181263
Nos1,Ksr2,1.5725597132394136e-21,5.28380063648443e-19,5.283800636484429e-19,18,228,614,245108,212,228,Ksr2_Nos1,31.515686610663465,0.08490566037735849
Scd2,Slc1a2,5.060858866166295e-21,1.1353193389766389e-18,3.4059580169299164e-18,93,4137,5642,788638,2082,4137,Scd2_Slc1a2,3.1422594809106776,0.0446685878962536
Syn2,Atg7,1.7213717578487338e-20,1.0293803111935429e-17,1.0293803111935429e-17,22,265,1526,320687,535,265,Atg7_Syn2,17.446311728776678,0.0830188679245283
Grin2b,Emp1,2.2326270090884425e-20,1.3284130704076233e-17,1.3284130704076233e-17,19,163,1086,218386,382,163,Emp1_Grin2b,23.440181224508244,0.1165644171779141
Nrgn,Esam,2.9689195826703255e-20,2.5770221977578426e-17,2.5770221977578426e-17,35,228,5186,253613,1823,228,Esam_Nrgn,7.507099918133165,0.15350877192982457
Crebbp,Adcy9,6.380599721738487e-20,3.222202859477936e-17,3.222202859477936e-17,27,706,1814,542000,673,706,Adcy9_Crebbp,11.426706353792193,0.04011887072808321
Tcf4,Mc2r,5.1182915624566277e-20,3.500911428720334e-17,3.500911428720333e-17,20,134,1532,201740,543,134,Mc2r_Tcf4,19.654339269708895,0.14925373134328357
Cst3,Aldoc,7.139805307587268e-19,7.741588897798194e-17,5.419112228458736e-16,116,2344,10185,521665,4039,2344,Aldoc_Cst3,2.5347261666004846,0.04948805460750853
Smad3,Map2k5,1.8584255034647959e-19,8.009813919933271e-17,8.009813919933271e-17,21,393,1235,400363,453,393,Map2k5_Smad3,17.322625706956764,0.05343511450381679
Ahcyl1,Csf1,1.7137509158382222e-19,1.141358109948256e-16,1.141358109948256e-16,25,387,2323,446264,869,387,Ahcyl1_Csf1,12.409997319246587,0.06459948320413436
Dgki,Chrm2,2.9278645731335773e-19,1.84162681650102e-16,1.8416268165010202e-16,18,136,1053,182059,405,136,Chrm2_Dgki,22.883232780291607,0.1323529411764706
Trio,Ctnnd2,6.948720949295933e-19,3.6202836145831813e-16,3.6202836145831813e-16,21,383,1450,428915,540,383,Ctnnd2_Trio,16.218988025569463,0.05483028720626632
Gja1,Apoe,1.2054446668853333e-18,4.05029408073472e-16,4.05029408073472e-16,83,4141,1575,241163,550,4141,Apoe_Gja1,3.0690430576158665,0.1509090909090909
Shtn1,Slc18a2,2.96409114824151e-18,9.574014408820077e-16,9.574014408820077e-16,13,112,346,139338,141,112,Shtn1_Slc18a2,46.743239058629236,0.11607142857142858
Plp1,Mbp,5.222919428010928e-18,9.610171747540108e-16,1.9220343495080216e-15,30,440,1458,172068,557,440,Mbp_Plp1,8.046576879910214,0.06818181818181818
Meg3,Malat1,1.6010812129148205e-18,1.2968757824610047e-15,1.2968757824610047e-15,1230,100175,9433,979054,3491,100175,Malat1_Meg3,1.2743906369091025,0.3523345746204526
Bcl2,Phlpp1,8.282390669601427e-18,1.416288804501844e-15,1.416288804501844e-15,14,191,359,174409,143,191,Bcl2_Phlpp1,35.609765345856,0.0979020979020979
Olig2,Ifnar1,8.457893158992687e-18,1.6915786317985372e-15,1.6915786317985374e-15,12,91,263,108550,93,91,Ifnar1_Olig2,54.42694187941336,0.13186813186813187
Arpp21,Clasp2,5.1134146600306204e-18,2.96578050281776e-15,2.96578050281776e-15,28,661,2819,602271,1148,661,Arpp21_Clasp2,9.050101456563121,0.04236006051437216
Rasgrf2,Serinc5,5.128047546904065e-18,3.1178529085176714e-15,3.1178529085176714e-15,27,537,2795,529963,1011,537,Rasgrf2_Serinc5,9.533518553682255,0.05027932960893855
Gabbr2,Tgfbr1,6.217423875625883e-18,3.4693225225992427e-15,3.4693225225992427e-15,19,242,1332,297718,481,242,Gabbr2_Tgfbr1,17.548463753009205,0.07851239669421488
Cacna1d,Cacna2d3,6.9318176307282445e-18,3.826363332161991e-15,3.826363332161991e-15,23,449,1771,423328,690,449,Cacna1d_Cacna2d3,12.244468226650856,0.051224944320712694
Plcb1,Plcb4,9.174756201184737e-18,4.926844080036204e-15,4.926844080036204e-15,15,132,695,177890,246,132,Plcb1_Plcb4,29.086003924133422,0.11363636363636363
Id2,Rnf144a,1.401481075747633e-17,5.1994947910237185e-15,5.199494791023719e-15,16,189,743,214348,273,189,Id2_Rnf144a,24.42242588675967,0.08465608465608465
Apoe,Gpr37l1,9.978543160670387e-17,6.6440466544797e-15,7.97285598537564e-14,72,616,10893,285122,4336,616,Apoe_Gpr37l1,3.05939117340935,0.11688311688311688
Nell2,Ano6,1.3130568888939227e-17,9.729751546703968e-15,9.729751546703968e-15,28,299,3970,361626,1386,299,Ano6_Nell2,8.530136559311895,0.09364548494983277
Mobp,Mbp,6.937823789244206e-17,1.9634041323561103e-14,1.9634041323561103e-14,23,588,817,229149,346,588,Mbp_Mobp,10.971005170734143,0.06647398843930635
Slc1a2,Cd44,2.7280184341590057e-16,2.361251511344295e-14,2.1251263602098655e-13,20,141,2291,203020,856,141,Cd44_Slc1a2,12.569691453761404,0.14184397163120568
Taok3,Nos1,8.261082677403033e-17,2.4204972244790886e-14,2.4204972244790886e-14,13,160,416,187990,148,160,Nos1_Taok3,36.716796875,0.08783783783783784
Clu,Aldoc,3.498845799312967e-16,2.5821481998929695e-14,2.5821481998929697e-13,101,2338,9177,530335,3528,2338,Aldoc_Clu,2.496470422532323,0.043199315654405476
Cckar,Rbpj,2.9179059956765053e-16,2.9762641155900355e-14,2.9762641155900355e-14,10,74,168,88736,66,74,Cckar_Rbpj,71.37709137709138,0.15151515151515152
Mef2c,Rasa1,7.125030045152931e-17,4.232267846820841e-14,4.232267846820841e-14,37,1292,3969,797189,1431,1292,Mef2c_Rasa1,5.752007040633017,0.02863777089783282
Pgm1,Atg4c,1.5339130198049338e-16,4.893182533177739e-14,4.893182533177739e-14,18,466,848,364322,291,466,Atg4c_Pgm1,16.594957081545065,0.061855670103092786
Plppr1,Slc44a1,2.0712087716013224e-16,6.897125209432403e-14,6.897125209432403e-14,17,358,804,309485,296,358,Plppr1_Slc44a1,18.27887448233692,0.057432432432432436
Slc2a13,Lrrk2,2.360645962673905e-16,1.1567165217102131e-13,1.1567165217102134e-13,16,198,981,247819,348,198,Lrrk2_Slc2a13,20.413636878468687,0.08080808080808081
Cacna1d,Tkt,4.811609316161434e-16,1.3280041712605557e-13,2.6560083425211115e-13,21,463,1855,478072,711,463,Cacna1d_Tkt,11.689278291698926,0.04535637149028078
Clu,Plpp3,2.485584305885331e-15,1.6676011070394313e-13,1.8343612177433745e-12,64,925,7681,350203,2907,925,Clu_Plpp3,3.1545712305196743,0.06918918918918919
Tspan7,Clu,2.5002745238715104e-16,1.8252004024262025e-13,1.8252004024262025e-13,100,3875,8326,818227,2872,3875,Clu_Tspan7,2.5360960225643727,0.034818941504178275
Mfge8,Apoe,1.150243781708086e-15,2.1682095285197423e-13,4.3364190570394846e-13,68,4487,1632,333704,573,4487,Apoe_Mfge8,3.0988039521580864,0.11867364746945899
Nf1,Nlk,6.931203888791481e-16,3.673538061059485e-13,3.673538061059485e-13,16,202,1188,285948,400,202,Nf1_Nlk,19.065106510651066,0.07920792079207921
Gabbr2,Slc44a1,2.0092761387982194e-15,5.605880427247032e-13,1.1211760854494064e-12,24,598,2474,544138,886,598,Gabbr2_Slc44a1,8.827127882486218,0.04013377926421405
Irf2,Casp3,2.3520918489114035e-15,5.997834214724079e-13,5.997834214724079e-13,10,75,242,105859,86,75,Casp3_Irf2,58.324517906336084,0.13333333333333333
Ptk2,Ago2,1.2264849185854042e-15,6.193748838856292e-13,6.193748838856292e-13,20,500,1632,495146,587,500,Ago2_Ptk2,12.135931372549019,0.04
Atf6,Pbx1,1.395553892057061e-15,6.489325598065333e-13,6.489325598065333e-13,22,680,1793,570964,658,680,Atf6_Pbx1,10.302490075784917,0.03343465045592705
Ppp3ca,Emcn,1.609659011983099e-15,1.426157884617026e-12,1.4261578846170258e-12,35,241,7348,266290,2545,241,Emcn_Ppp3ca,5.263040497654258,0.14522821576763487
Rbfox3,Timp2,3.3337099675705178e-15,2.170245188888407e-12,2.170245188888407e-12,19,293,1571,301286,563,293,Rbfox3_Timp2,12.436230048468074,0.06484641638225255
Wdr59,Fa2h,6.425869716583374e-15,2.3582941859860984e-12,2.358294185986098e-12,11,102,316,117466,117,102,Fa2h_Wdr59,40.08829734425415,0.10784313725490197
Rasgrf2,Zfyve16,8.015136523170932e-15,2.4366015030439637e-12,4.8732030060879265e-12,19,312,1912,372511,693,312,Rasgrf2_Zfyve16,11.864521309408861,0.060897435897435896
